Ticker,Nome,Categoria,Setor,Preço Atual,Dividendos 12M,DY (%),P/VP,Liquidez,Patrimônio,Atualizado Em
ALZR11,Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario,FII/UNIT,Real Estate,R$ 10.31,R$ 1.01,9.79%,0.0,240.18K,R$ 1.26B,2026-05-29 23:13:22
BTAL11,FII Btg Pactual Agro Logistica,FII,Real Estate,R$ 87.79,R$ 11.45,13.04%,0.0,7.81K,R$ 525.22M,2026-05-29 23:13:22
BTLG11,BTG Pactual Logística Fundo de Investimento Imobiliário,FII/UNIT,Real Estate,R$ 103.60,R$ 9.49,9.16%,1.0,117.45K,R$ 4.49B,2026-05-29 23:13:23
CPTS11,Capitania Securities II Fundo Investimento Imobiliario FII,FII,Real Estate,R$ 7.64,R$ 1.07,13.95%,0.0,1.22M,R$ 2.51B,2026-05-29 23:13:23
DEVA11,Devant Recebiveis Imobiliarios Fundo De Investimento Imobiliario,FII/UNIT,Real Estate,R$ 18.47,R$ 4.29,23.23%,0.0,27.67K,R$ 259.41M,2026-05-29 23:13:24
GGRC11,Ggr Covipe Renda Fundo Investimento Imobiliario,FII/UNIT,Real Estate,R$ 10.15,R$ 1.11,10.89%,0.0,924.65K,R$ 1.55B,2026-05-29 23:13:24
HCTR11,Fundo De Investimento Imobiliario Hectare Ce,FII/UNIT,Financial Services,R$ 16.80,R$ 3.55,21.11%,0.0,47.44K,R$ 371.01M,2026-05-29 23:13:25
HFOF11,Hedge Top Fofii 3 Fundo Investimento Imobilirio,FII,Real Estate,R$ 6.72,R$ 0.69,10.24%,0.0,393.63K,R$ 1.52B,2026-05-29 23:13:25
HGBS11,HEDGE Brasil Shopping Fundo de Investimento Imobiliário,FII/UNIT,Real Estate,R$ 20.05,R$ 1.89,9.43%,0.87,278.14K,R$ 2.59B,2026-05-29 23:13:26
HGCR11,CSHG Recebiveis Imobiliarios BC Fundo de Investimento Imobiliario - FII,FII,Real Estate,R$ 97.49,R$ 12.05,12.36%,0.0,36.34K,R$ 1.50B,2026-05-29 23:13:26
HGFF11,CSHG Imobiliario Fof - Fundo De Investimento Imobiliario - Fii,FII,Real Estate,R$ 0.00,R$ 6.69,0.0%,0.0,0.00,R$ 0.00,2026-05-29 23:13:27
HGLG11,Cshg Logistica - Fundo De Investimento Imobiliario,FII/UNIT,Real Estate,R$ 155.71,R$ 13.20,8.48%,0.98,94.15K,R$ 5.26B,2026-05-29 23:13:28
HGPO11,Cshg Jhsf Prime Offices Fundo De Investimento Imobiliario,FII/UNIT,Real Estate,R$ 153.42,R$ 0.00,0.0%,0.0,1.27K,R$ 0.00,2026-05-29 23:13:28
HSML11,Hsi Malls Fundo De Investimento Imobiliario,FII/UNIT,Financial Services,R$ 92.72,R$ 8.22,8.87%,0.0,64.07K,R$ 1.93B,2026-05-29 23:13:29
IRDM11,Fundo Investimento Imobiliario Iridium Recebiveis Imobiliarios,FII/UNIT,N/D,R$ 58.50,R$ 9.46,16.16%,0.0,0.00,R$ 2.13B,2026-05-29 23:13:29
JSRE11,JS Real Estate multigestão - FII fund,FII,Real Estate,R$ 61.55,R$ 5.76,9.36%,0.56,46.38K,R$ 1.28B,2026-05-29 23:13:30
KFOF11,Kinea Fundo Fundos De Investimento Imobiliario FII,FII,Financial Services,R$ 80.90,R$ 9.45,11.68%,0.0,16.15K,R$ 567.48M,2026-05-29 23:13:31
KNCR11,Kinea Rendimentos Imobiliários Fundo de Investimento Imobiliário - FII,FII,Real Estate,R$ 107.00,R$ 14.63,13.67%,1.06,203.67K,R$ 8.21B,2026-05-29 23:13:31
KNHY11,Kinea High Yield Cri Fundo Investimento Imobiliario FII,FII,Financial Services,R$ 100.55,R$ 13.33,13.26%,0.0,30.46K,R$ 2.83B,2026-05-29 23:13:32
KNIP11,Kinea Indices Precos Fundo Investimento Imobiliario - FII,FII,Real Estate,R$ 93.02,R$ 9.48,10.19%,0.0,113.46K,R$ 7.45B,2026-05-29 23:13:32
KNRI11,Kinea Renda Imobiliária Fundo de Investimento Imobiliário,FII/UNIT,Real Estate,R$ 162.53,R$ 12.43,7.65%,1.01,48.85K,R$ 4.58B,2026-05-29 23:13:33
LVBI11,Fundo De Investimento Imobiliario - VBI Logistico - Cota Fund,FII/UNIT,Real Estate,R$ 108.66,R$ 9.00,8.28%,0.0,33.10K,R$ 0.00,2026-05-29 23:13:33
MXRF11,Maxi Renda Fundo De Investimento Imobiliaro - FII,FII,Real Estate,R$ 9.98,R$ 1.20,11.97%,1.01,1.46M,R$ 4.59B,2026-05-29 23:13:34
PATL11,Patria Logistica Fundo De Investimento Imobiliario,FII/UNIT,Real Estate,R$ 64.15,R$ 7.10,11.07%,0.0,10.29K,R$ 320.21M,2026-05-29 23:13:35
PVBI11,Fundo De Investimento ImobiliarRio Vbi Prime Properties,FII/UNIT,Real Estate,R$ 74.10,R$ 5.45,7.35%,0.0,66.62K,R$ 2.01B,2026-05-29 23:13:35
RBRF11,Fundo Investimento Imobiliario Rbr Alpha Fundos De Fundos,FII/UNIT,Real Estate,R$ 6.65,R$ 0.69,10.4%,0.0,0.00,R$ 909.77M,2026-05-29 23:13:36
RBRR11,Fundo Investimento Imobiliario - FII RBR Rendimento High Grade,FII,Financial Services,R$ 84.42,R$ 9.90,11.73%,0.0,55.22K,R$ 0.00,2026-05-29 23:13:36
RECR11,Fundo Investimento Imobiliario Fii Ubs (Br) Recebveis Imobiliarios,FII,Real Estate,R$ 82.54,R$ 9.29,11.26%,0.0,39.51K,R$ 3.08B,2026-05-29 23:13:37
RECT11,Fundo De Investimento Imobiliario - FII UBS Office,FII,Financial Services,R$ 36.10,R$ 4.56,12.64%,0.0,12.95K,R$ 28.03M,2026-05-29 23:13:37
SNCI11,Suno Recebiveis Imobiliarios Fundo De Investimento Imobiliario,FII/UNIT,Real Estate,R$ 88.92,R$ 12.00,13.5%,0.0,6.09K,R$ 373.46M,2026-05-29 23:13:38
TGAR11,Fundo Investimento Imobiliario TG Ativo Real,FII/UNIT,Real Estate,R$ 59.77,R$ 10.87,18.19%,0.0,111.55K,R$ 1.41B,2026-05-29 23:13:38
TRXF11,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,FII,Real Estate,R$ 91.80,R$ 10.88,11.85%,0.0,240.45K,R$ 2.98B,2026-05-29 23:13:39
URPR11,Urca Prime Renda Fundo De Investimento Imobiliario - FII,FII,Real Estate,R$ 25.14,R$ 4.50,17.9%,0.0,22.26K,R$ 294.99M,2026-05-29 23:13:39
VGHF11,Valora Hedge Fund Fundo De Investimento Imobiliario - Fii,FII,Real Estate,R$ 6.23,R$ 0.94,15.09%,0.0,592.01K,R$ 1.03B,2026-05-29 23:13:40
VISC11,Vinci Shopping Centers Fundo Investimento Imobiliario - Fii,FII,Real Estate,R$ 107.09,R$ 9.83,9.18%,0.0,80.63K,R$ 3.09B,2026-05-29 23:13:41
VRTA11,Fator Veritá Fundo de Investimento Imobiliário - FII,FII,Real Estate,R$ 76.85,R$ 10.20,13.27%,0.84,22.41K,R$ 1.20B,2026-05-29 23:13:41
XPCM11,XP Corporate Macaé Fundo de Investimento Imobiliário - FII,FII,Real Estate,R$ 8.16,R$ 0.00,0.0%,0.11,3.91K,R$ 19.70M,2026-05-29 23:13:42
XPIN11,Xp Industrial Fundo Investimento Imobiliario,FII/UNIT,Real Estate,R$ 63.93,R$ 8.95,14.0%,0.0,14.06K,R$ 457.13M,2026-05-29 23:13:43
XPML11,Xp Malls Fundo Investimentos Imobiliarios,FII/UNIT,Real Estate,R$ 107.00,R$ 11.04,10.32%,0.0,158.88K,R$ 6.07B,2026-05-29 23:13:43
ABEV3,Ambev S.A.,AÇÃO,Consumer Defensive,R$ 16.32,R$ 0.61,3.75%,2.82,27.26M,R$ 254.15B,2026-05-29 23:13:44
ALOS3,Allos S.A.,AÇÃO,Real Estate,R$ 28.21,R$ 2.56,9.07%,1.09,5.90M,R$ 14.11B,2026-05-29 23:13:44
ALPA4,Alpargatas S.A.,AÇÃO,Consumer Cyclical,R$ 12.40,R$ 1.79,14.48%,2.53,2.56M,R$ 8.42B,2026-05-29 23:13:45
AMER3,Americanas S.A.,AÇÃO,Consumer Cyclical,R$ 5.05,R$ 0.00,0.0%,0.21,2.78M,R$ 1.01B,2026-05-29 23:13:46
ASAI3,Sendas Distribuidora S.A.,AÇÃO,Consumer Defensive,R$ 8.75,R$ 0.10,1.19%,1.99,13.46M,R$ 11.74B,2026-05-29 23:13:46
B3SA3,"B3 S.A. - Brasil, Bolsa, Balcão",AÇÃO,Financial Services,R$ 16.50,R$ 0.61,3.67%,4.53,36.56M,R$ 82.68B,2026-05-29 23:13:47
BBAS3,Banco do Brasil S.A.,AÇÃO,Financial Services,R$ 20.30,R$ 0.83,4.1%,0.62,24.06M,R$ 115.89B,2026-05-29 23:13:48
BBDC3,Banco Bradesco S.A.,AÇÃO,Financial Services,R$ 15.50,R$ 1.37,8.83%,0.91,7.05M,R$ 175.89B,2026-05-29 23:13:49
BBDC4,Banco Bradesco S.A.,AÇÃO,Financial Services,R$ 17.70,R$ 1.51,8.51%,1.04,33.60M,R$ 187.10B,2026-05-29 23:13:50
BBSE3,BB Seguridade Participações S.A.,AÇÃO,Financial Services,R$ 35.40,R$ 4.55,12.85%,5.44,5.04M,R$ 68.72B,2026-05-29 23:13:50
BEEF3,Minerva S.A.,AÇÃO,Consumer Defensive,R$ 3.69,R$ 0.20,5.3%,2.89,18.58M,R$ 3.64B,2026-05-29 23:13:51
BPAC11,Banco BTG Pactual S.A.,FII/UNIT,Financial Services,R$ 53.75,R$ 1.25,2.32%,3.48,9.53M,R$ 181.11B,2026-05-29 23:13:52
BRAP4,Bradespar S.A.,AÇÃO,Financial Services,R$ 23.25,R$ 2.36,10.14%,1.2,2.32M,R$ 9.14B,2026-05-29 23:13:52
BRKM5,Braskem S.A.,AÇÃO,Basic Materials,R$ 10.46,R$ 0.00,0.0%,-0.53,6.49M,R$ 8.34B,2026-05-29 23:13:53
CMIG4,Companhia Energética de Minas Gerais - CEMIG,AÇÃO,Utilities,R$ 10.76,R$ 1.27,11.79%,1.07,15.61M,R$ 30.78B,2026-05-29 23:13:54
CMIN3,CSN Mineração S.A.,AÇÃO,Basic Materials,R$ 4.66,R$ 0.39,8.28%,3.79,9.16M,R$ 25.31B,2026-05-29 23:13:54
COGN3,Cogna Educação S.A.,AÇÃO,Consumer Defensive,R$ 2.50,R$ 0.13,5.16%,0.37,28.74M,R$ 4.99B,2026-05-29 23:13:55
